job_title,experience,education,location,age,salary
Senior Project Coordinator,9,Bachelor's,Gothenburg,35,95000
Director of Operations,22,PhD,Malmo,50,180000
Junior Business Operations Analyst,1.5,Bachelor's,Oslo,29,35000
Senior Sales Representative,12,Bachelor's,Bergen,40,100000
Director of Marketing,19,Master's,Trondheim,48,170000
Junior Social Media Specialist,3,Bachelor's,Helsinki,31,45000
Senior Product Development Manager,7,Bachelor's,Turku,33,100000
Senior Human Resources Manager,13,Master's,Tampere,42,140000
Junior Financial Analyst,2,Bachelor's,Reykjavik,28,40000
Senior Marketing Manager,11,Bachelor's,Moscow,40,105000
Senior Data Scientist,18,PhD,Saint Petersburg,46,160000
Junior Operations Manager,5,Bachelor's,Kazan,33,70000
Senior Software Architect,9,Master's,Sochi,37,120000
Director of Human Resources,21,Master's,Dubai,51,190000
Junior Marketing Specialist,3,Bachelor's,Abu Dhabi,30,45000
Senior Project Manager,15,Bachelor's,Doha,43,120000
Junior Research Scientist,1.5,Master's,Riyadh,27,50000
Senior Operations Analyst,8,Bachelor's,Jeddah,35,85000
Senior Marketing Manager,13,PhD,Kuwait City,42,140000
Junior Sales Representative,3,Bachelor's,Manama,32,45000
Senior Financial Analyst,9,Bachelor's,Muscat,37,100000
Senior Software Developer,16,Master's,Istanbul,45,140000
Junior Operations Analyst,5,Bachelor's,Ankara,33,70000
Senior Marketing Specialist,10,Bachelor's,Izmir,39,120000
Senior HR Manager,18,PhD,Tel Aviv,44,160000
Junior Business Analyst,1.5,Bachelor's,Jerusalem,29,40000
Senior Product Manager,10,Bachelor's,Cairo,38,120000
Senior Data Analyst,19,PhD,Alexandria,46,150000
Junior Marketing Analyst,6,Bachelor's,Giza,34,70000
Senior Operations Manager,8,Bachelor's,Johannesburg,36,95000
Director of Marketing,21,Master's,Cape Town,49,180000
Junior Financial Analyst,3,Bachelor's,Durban,31,50000
Senior Project Coordinator,11,Bachelor's,Pretoria,41,95000
Director of Operations,20,Master's,Nairobi,47,170000
Junior Marketing Coordinator,2,Bachelor's,Mombasa,30,40000
Senior IT Consultant,9,Master's,Lagos,38,110000
Senior Product Designer,15,PhD,Abuja,45,150000
Junior Business Development Associate,2,Bachelor's,Accra,28,40000
Senior Marketing Analyst,8,Bachelor's,Kumasi,35,85000
Senior Software Engineer,14,Bachelor's,Casablanca,44,130000
Senior Financial Advisor,6,Master's,Rabat,34,100000
Senior Project Coordinator,9,Bachelor's,Marrakech,35,95000
Director of Operations,22,PhD,Tunis,50,180000
Junior Business Operations Analyst,1.5,Bachelor's,Algiers,29,350
,,,,,
Senior Financial Manager,10,Bachelor's,Addis Ababa,37,120000
Senior Data Scientist,18,PhD,Khartoum,46,160000
Junior Marketing Coordinator,3,Bachelor's,Johor Bahru,31,50000
Senior Operations Manager,12,Bachelor's,Kuala Lumpur,42,110000
Junior Sales Representative,1.5,Bachelor's,Singapore,29,40000
Senior Marketing Specialist,8,Bachelor's,Bangkok,36,95000
Senior HR Specialist,15,Master's,Chiang Mai,44,140000
Junior Operations Manager,4,Bachelor's,Hanoi,33,60000
Senior Marketing Coordinator,9,Bachelor's,Ho Chi Minh City,39,110000
Senior Data Engineer,16,PhD,Da Nang,45,150000
Junior Marketing Manager,4,Bachelor's,Manila,32,60000
Senior Financial Analyst,8,Bachelor's,Cebu,37,90000
Director of Marketing,20,Master's,Jakarta,47,180000
Junior Business Analyst,2,Bachelor's,Bandung,30,40000
Senior Project Manager,9,Bachelor's,Surabaya,38,120000
Senior Data Analyst,17,PhD,Bali (Denpasar),46,160000
Junior Financial Analyst,5,Bachelor's,Phnom Penh,34,70000
Senior Product Manager,8,Bachelor's,Vientiane,36,95000
Director of Operations,21,Master's,Yangon,49,180000
Junior Operations Analyst,3,Bachelor's,Mandalay,31,50000
Senior Project Coordinator,11,Bachelor's,Taipei,41,95000
Director of Marketing,19,Master's,Kaohsiung,47,170000
Junior Business Development Associate,1.5,Bachelor's,Seoul,29,35000
Senior Financial Manager,9,Bachelor's,Busan,35,100000
Senior Product Designer,15,PhD,Incheon,44,150000
Junior Business Analyst,4,Bachelor's,Tokyo,33,60000
Senior Marketing Analyst,8,Bachelor's,Osaka,35,85000
Senior Software Engineer,13,Bachelor's,Kyoto,44,130000
Junior Product Manager,4,Bachelor's,Nagoya,32,65000
Senior Business Analyst,10,Bachelor's,Hiroshima,38,110000
Director of Operations,21,PhD,Sapporo,49,180000
Junior Marketing Specialist,2,Bachelor's,Fukuoka,29,40000
Senior Business Development Manager,7,Bachelor's,Sendai,35,90000
Senior HR Manager,14,Master's,Beijing,45,140000
Junior Financial Analyst,4,Bachelor's,Shanghai,33,60000
Senior Marketing Manager,12,Bachelor's,Shenzhen,40,130000
Senior Data Scientist,16,PhD,Guangzhou,44,160000
Junior Operations Coordinator,2,Bachelor's,Chengdu,30,40000
Senior Marketing Analyst,9,Bachelor's,Wuhan,37,100000
Director of HR,20,Master's,Xi'an,48,180000
Junior Project Manager,3,Bachelor's,Hangzhou,31,55000
Senior Operations Coordinator,9,Bachelor's,Nanjing,38,120000
Senior Data Engineer,16,PhD,Tianjin,45,150000
Junior Marketing Manager,5,Bachelor's,Hong Kong,33,70000
Senior Business Analyst,8,Bachelor's,Macau,36,95000
Director of Marketing,21,Master's,Melbourne,49,180000
Junior Operations Analyst,3,Bachelor's,Sydney,31,50000
Senior Project Manager,12,Bachelor's,Brisbane,42,120000
Director of Marketing,19,Master's,Perth,47,170000
Junior Business Development Associate,1.5,Bachelor's,Adelaide,29,35000
Senior Financial Manager,9,Bachelor's,Canberra,35,100000
Senior Product Designer,15,PhD,Auckland,44,150000
Junior Business Analyst,4,Bachelor's,Wellington,33,60000
Senior Marketing Analyst,8,Bachelor's,Christchurch,35,85000
Senior Software Engineer,13,Bachelor's,Suva,44,130000
Senior Financial Advisor,6,Master's,Nadi,34,80000
Senior Marketing Specialist,8,Bachelor's,Mexico City,36,95000
Junior HR Coordinator,2,Bachelor's,Guadalajara,30,40000
Senior Business Development Manager,10,Bachelor's,Monterrey,37,120000
Senior Marketing Manager,16,Master's,Puebla,45,160000
Junior Financial Advisor,4,Bachelor's,Tijuana,32,65000
Senior Project Manager,12,Bachelor's,Leon,39,130000
Director of Engineering,20,PhD,Bogotá,47,180000
Junior Marketing Analyst,2,Bachelor's,Medellín,29,40000
Senior Operations Manager,9,Bachelor's,Cali,36,100000
Senior Data Scientist,15,PhD,Cartagena,43,150000
Junior Marketing Coordinator,3,Bachelor's,Lima,32,55000
Senior Business Analyst,10,Bachelor's,Arequipa,38,110000
Director of Marketing,21,Master's,Cusco,48,180000
Junior Business Development Associate,3,Bachelor's,Santiago,31,50000
Senior Financial Analyst,12,Bachelor's,Valparaiso,40,130000
Senior UX Designer,16,PhD,Buenos Aires,45,160000
Junior Product Manager,4,Bachelor's,Cordoba,33,60000
Senior Marketing Manager,8,Bachelor's,Rosario,36,95000
Director of Operations,19,Master's,Montevideo,47,170000
Junior Project Manager,2,Bachelor's,Asuncion,29,40000
Senior Operations Coordinator,7,Bachelor's,La Paz,34,90000
Senior Business Analyst,15,PhD,Santa Cruz,44,150000
Junior Marketing Specialist,5,Bachelor's,Quito,33,70000
Senior Financial Manager,8,Bachelor's,Guayaquil,35,90000
Director of Marketing,18,Master's,Caracas,43,170000
Junior Financial Analyst,3,Bachelor's,Panama City,31,50000
Senior Product Manager,14,Bachelor's,San Jose (Costa Rica),41,150000
Senior Data Engineer,16,PhD,Guatemala City,44,160000
Junior Business Analyst,4,Bachelor's,Belize City,33,60000
Senior Marketing Analyst,8,Bachelor's,San Salvador,35,85000
Director of Engineering,19,Master's,Tegucigalpa,45,180000
Junior Operations Manager,1,Bachelor's,Managua,28,35000
Senior Business Development Manager,8,Bachelor's,Kingston,36,110000
Senior Data Scientist,16,PhD,Havana,44,160000
Junior Marketing Coordinator,3,Bachelor's,Santo Domingo,31,55000
Senior Business Analyst,10,Bachelor's,Port-au-Prince,38,110000
Director of Marketing,21,Master's,Buenos Aires,48,180000
Junior Business Development Associate,3,Bachelor's,Cordoba,31,50000
Senior Financial Analyst,12,Bachelor's,Rosario,40,130000
Senior UX Designer,16,PhD,Montevideo,45,160000
Junior Product Manager,4,Bachelor's,Asuncion,33,60000
Senior Marketing Manager,8,Bachelor's,La Paz,36,95000
Director of Operations,19,Master's,Santa Cruz,47,170000
Junior Project Manager,2,Bachelor's,Quito,29,40000
Senior Operations Coordinator,7,Bachelor's,Guayaquil,34,90000
Senior Business Analyst,15,PhD,Caracas,44,150000
Junior Marketing Specialist,5,Bachelor's,Panama City,33,70000
Senior Financial Manager,8,Bachelor's,San Jose (Costa Rica),35,90000
Director of Marketing,18,Master's,Guatemala City,43,170000
Junior Financial Analyst,3,Bachelor's,Belize City,31,50000
Senior Product Manager,14,Bachelor's,San Salvador,41,150000
Senior Data Engineer,16,PhD,Tegucigalpa,44,160000
Junior Business Analyst,4,Bachelor's,Managua,33,60000
Senior Marketing Analyst,8,Bachelor's,Kingston,35,85000
Director of Operations,19,Master's,Havana,43,170000
Junior Project Manager,2,Bachelor's,Santo Domingo,29,40000
Senior Operations Coordinator,7,Bachelor's,Port-au-Prince,34,90000
Senior Business Analyst,15,PhD,New York,44,150000
